name,phone,email,email_host,website,category,address,city,state,zip,country,google_rank,facebook_url,instagram_url,twitter_url,linkedin_url,googlestars,googlereviewscount,yelpstars,yelpreviewscount,facebookstars,facebookreviewscount,facebookpixel,googlepixel,criteopixel,seo_schema,googleanalytics,linkedinanalytics,uses_wordpress,mobilefriendly,uses_shopify,domain_registration,domain_expiration,domain_registrar,domain_nameserver,instagram_name,instagram_is_verified,instagram_is_business_account,instagram_media_count,instagram_highlight_reel_count,instagram_followers,instagram_following,instagram_category,instagram_average_likes,instagram_average_comments,ads_yelp,ads_facebook,ads_instagram,ads_messenger,ads_adwords,g_maps,g_maps_claimed,search_keyword,search_city
Scout Dallas,14693208993,refinedhospitalityconcepts@gmail.com,google.com,http://www.scoutdallas.com/,New American restaurant,1914 Commerce St,Dallas,TX,75201,US,,,https://www.instagram.com/scout_dallas,,,3.9,198,3.3,102,,,y,y,n,y,y,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Scout | Ultimate Sports & Gaming Destination,,1,1163,3,3206,147,Sports Bar,9,,,,,,,https://g.page/scout_dallas,claimed,Restaurants,Dallas
Sassetta,12142907555,pool@thejouledallas.com,outlook.com,https://www.thejouledallas.com/sassetta,Italian restaurant,1530 Main St STE 100,Dallas,TX,75201,US,,,https://www.instagram.com/thejouledallas,,https://www.linkedin.com/company/the-joule-hotel,4.4,696,3.9,1199,,,n,y,n,y,y,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,The JouleDallas,,1,2042,11,66779,885,Hotel,287,30,,,,,1,https://g.page/Sassetta-Dallas,claimed,Restaurants,Dallas
Rj Mexican Cuisine,12147441420,rjeventsdallas@gmail.com,google.com,https://www.rjmexicancuisine.com/,Mexican restaurant,1701 N Market St #102,Dallas,TX,75202,US,,,,,,4.8,11109,3.8,1017,,,n,n,n,n,n,n,n,y,n,1970-01-01,1970-01-01,Tucows Domains,turbify.com,,,,,,,,,,,,,,,,https://g.page/Rj-Mexican-Cuisine,claimed,Restaurants,Dallas
Musume Dallas,12148718883,kilalani@gmail.com,google.com,https://www.musumedallas.com/,Asian fusion restaurant,2330 Flora St #100,Dallas,TX,75201,US,,https://www.facebook.com/813771182137725,https://www.instagram.com/musumedallas,,,4.5,1089,4,453,3.8,148,n,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,aws.com,MUSUME  DALLAS,1,1,1941,15,15485,1227,Restaurant,33,1,,,1,,,https://g.page/musumedallas,claimed,Restaurants,Dallas
Miriam Cocina Latina,12148555275,miriam@miriamcocina.com,outlook.com,https://www.miriamcocina.com/,Mexican restaurant,2015 Woodall Rodgers Fwy,Dallas,TX,75201,US,,,,,,4.6,1192,4.4,498,,,y,y,n,y,y,n,y,y,n,1970-01-01,1970-01-01,Bluehost,microsoftonline.com,,,,,,,,,,,,,,,,https://g.page/miriamcocinadallas,claimed,Restaurants,Dallas
Glass Half Full Taproom,14697014679,austin.rentals@drafthouse.com,google.com,https://drafthouse.com/dfw/theater-bar/cedars,Bar & grill,1005 Botham Jean Blvd,Dallas,TX,75215,US,,,,,https://www.linkedin.com/company/alamodrafthouse,4.3,250,3.6,440,,,n,y,n,n,y,n,n,y,n,1970-01-01,1970-01-01,Markmonitor,cloudflare.com,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Glass+Half+Full+Taproom/@32.7699161,-96.7995171,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x46C21D0E9B5B242E!8m2!3d32.7699161!4d-96.7995171",claimed,Restaurants,Dallas
Doc B's Restaurant,14699982330,lindsey.wuenker@docbs.com,google.com,https://docbsrestaurant.com/locations/dallas,American restaurant,2021 McKinney Ave #190,Dallas,TX,75201,US,,,,,https://www.linkedin.com/company/doc-b's-restaurant-bar,4.6,916,,,,,n,y,n,y,y,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,,,,,,,,,,,,,,,1,"https://maps.google.com/maps/place/Doc+B's+Restaurant/@32.790975,-96.8037224,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x51FE4DC497A42384!8m2!3d32.790975!4d-96.8037224",claimed,Restaurants,Dallas
Opus,12149812943,meyersondining@ciemail.com,outlook.com,http://www.diningatthemeyerson.com/,Fine dining restaurant,2301 Flora St # 100,Dallas,TX,75201,US,,,,,,4.3,33,,,,,n,n,n,n,n,n,n,y,n,1970-01-01,1970-01-01,Amazon Registrar,aws.com,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Opus/@32.7898652,-96.7986697,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xBA66BD5672BD42E3!8m2!3d32.7898652!4d-96.7986697",claimed,Restaurants,Dallas
Off the Bone Barbeque,12145659551,catering@offthebonebarbeque.com,siteground.com,https://offthebonebarbeque.com/,Barbecue restaurant,1734 Botham Jean Blvd,Dallas,TX,75215,US,,,,,,4.4,1469,4.1,755,,,n,y,n,y,y,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,siteground.net,,,,,,,,,,,,,,,,https://g.page/offthebonebarbeque,claimed,Restaurants,Dallas
Avanti Restaurant,12148714955,avanti.ristorante@avantirestaurants.com,self_hosted,https://www.avantirestaurants.com/dallas/,Italian restaurant,2720 McKinney Ave,Dallas,TX,75204,US,,,,,https://www.linkedin.com/company/avanti-ristorante,4.6,734,,,,,n,n,n,n,n,n,n,n,n,1970-01-01,1970-01-01,Network Solutions,dallaswebdesignandhosting.com,,,,,,,,,,,,,,,,https://g.page/avantidallas,claimed,Restaurants,Dallas
Gemma,12143709426,reservations@gemmadallas.com,rackspace.com,https://www.gemmadallas.com/,Restaurant,2323 N Henderson Ave #109,Dallas,TX,75206,US,,,https://www.instagram.com/gemmarestaurant,https://www.twitter.com/gemmarestaurant,,4.7,769,4.3,660,,,n,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Gemma,,1,867,5,7870,1490,Restaurant,31,1,,,,,,https://g.page/Gemmadallas,claimed,Restaurants,Dallas
Saint Ann Restaurant &amp; Bar,12147829807,hello@saintanndallas.com,mimecast.com,https://www.saintanndallas.com/,American restaurant,2501 N Harwood St Suite 225,Dallas,TX,75201,US,,,https://www.instagram.com/saintanndallas,,,4.3,1265,,,,,n,y,n,y,y,n,n,y,n,1970-01-01,1970-01-01,Wild West Domains,mediatemple.net,Saint Ann | Dallas Garden Patio Restaurant & Bar,,1,1268,4,14692,125,Restaurants,9,1,,,,,,"https://maps.google.com/maps/place/Saint+Ann+Restaurant+&amp;+Bar/@32.7918621,-96.8066793,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x4CAD9337900AC335!8m2!3d32.7918621!4d-96.8066793",claimed,Restaurants,Dallas
Kuai Asian Kitchen,19727891199,lindsey@kuainow.com,google.com,http://www.kuaidumplings.com/,Asian fusion restaurant,325 North St. Paul Street C9,Dallas,TX,75201,US,,,https://www.instagram.com/kuaiasiankitchen,https://www.twitter.com/kuaidumplings,,4.3,102,,,,,n,y,n,n,y,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Kuai Asian Kitchen,,1,633,1,963,813,Restaurant,4,,,,,,,"https://maps.google.com/maps/place/Kuai+Asian+Kitchen/@32.783144,-96.797492,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xA5565B9D77930A92!8m2!3d32.783144!4d-96.797492",claimed,Restaurants,Dallas
Lucia,12149484998,info@luciadallas.com,google.com,https://www.luciadallas.com/,Italian restaurant,287 N Bishop Ave,Dallas,TX,75208,US,,,https://www.instagram.com/lucia_dallas,,,4.6,671,4.2,612,,,n,y,n,n,y,n,n,y,n,1970-01-01,1970-01-01,Register.com - Network Solutions,dreamhost.com,Lucia,,,333,,16071,2625,,181,6,,,,,,"https://maps.google.com/maps/place/Lucia/@32.7470245,-96.8285281,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x5EB44C8CC90BCAF2!8m2!3d32.7470245!4d-96.8285281",claimed,Restaurants,Dallas
The Free Man Cajun Cafe &amp; Lounge,12143779893,reservations@freemandallas.com,google.com,http://www.freemandallas.com/,Live music venue,2626-2630 Commerce St,Dallas,TX,75226,US,,https://www.facebook.com/191841047533448,,https://www.twitter.com/thefreeman2,,4.3,3554,3.6,667,3.9,1062,n,n,n,n,n,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,,,,,,,,,,,,,,,,https://g.page/The-Free-Man-Cajun,claimed,Restaurants,Dallas
Kalachandjis,12148211048,danny@kalachandjis.com,google.com,http://www.kalachandjis.com/,Vegetarian restaurant,5430 Gurley Ave,Dallas,TX,75223,US,,https://www.facebook.com/57847841542,,,https://www.linkedin.com/company/kalachandjis,4.7,2600,,,4.5,774,n,n,n,n,n,n,y,y,n,1970-01-01,1970-01-01,Enom,siteground.net,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Kalachandjis/@32.79405,-96.7499028,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x5AC13C35BA95C939!8m2!3d32.79405!4d-96.7499028",claimed,Restaurants,Dallas
Al Biernat's Oak Lawn,12142192201,lexis@albiernats.com,google.com,https://www.albiernats.com/locations/oak-lawn/,Steak house,4217 Oak Lawn Ave,Dallas,TX,75219,US,,,https://www.instagram.com/albiernats_oaklawn,,https://www.linkedin.com/company/al-biernat's,4.7,2590,,,,,n,n,n,n,y,n,y,y,n,1970-01-01,1970-01-01,Enom,hostpapa.com,Al Biernat's Oak Lawn,,1,1867,1,14615,819,Restaurants,163,4,,,,,,"https://maps.google.com/maps/place/Al+Biernat's+Oak+Lawn/@32.8203061,-96.8026735,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x5A2DC1FCA54A7DD6!8m2!3d32.8203061!4d-96.8026735",claimed,Restaurants,Dallas
Slow Bone BBQ,12143777727,catering@slowbone.com,outlook.com,http://slowbone.com/,Barbecue restaurant,2234 Irving Blvd,Dallas,TX,75207,US,,,https://www.instagram.com/theslowbone,https://www.twitter.com/theslowbone,,4.5,1981,4.2,867,,,n,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Slow Bone BBQ,,,511,1,6191,1728,,64,2,,,,,,"https://maps.google.com/maps/place/Slow+Bone+BBQ/@32.7963461,-96.8341774,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x590035A180493C52!8m2!3d32.7963461!4d-96.8341774",claimed,Restaurants,Dallas
Mias Tex-Mex Restaurant,12145261020,mia@miastexmex.com,1and1.com,http://www.miastexmex.com/,Tex-Mex restaurant,4334 Lemmon Ave,Dallas,TX,75219,US,,,,,,4.5,2341,,,,,n,y,n,n,y,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Mias+Tex-Mex+Restaurant/@32.8179709,-96.812025,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x5193B80F1505EF1C!8m2!3d32.8179709!4d-96.812025",claimed,Restaurants,Dallas
Zizikis,12145212233,info@zizikis.com,zoho.com,https://www.zizikis.com/,Greek restaurant,4514 Travis St UNIT 122,Dallas,TX,75205,US,,,,https://www.twitter.com/zizikistravis,https://www.linkedin.com/company/zizikis-restaurant-&-bar,4.6,757,4.2,558,,,y,y,n,n,y,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,,,,,,,,,,,,,,,,https://g.page/zizikis-travis,claimed,Restaurants,Dallas
Nick &amp; Sam's,12148717444,acrain@nick-sams.com,outlook.com,http://www.nick-sams.com/,Steak house,3008 Maple Ave,Dallas,TX,75201,US,,https://www.facebook.com/nickandsams,https://www.instagram.com/nickandsams,,,4.3,3954,3.7,2081,4,1449,n,y,n,y,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,wix.com,Nick and Sam's Steakhouse,,1,1679,10,47546,352,Entrepreneur,208,10,,,,,,"https://maps.google.com/maps/place/Nick+&amp;+Sam's/@32.7984933,-96.8074407,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x516B2AD22288BE88!8m2!3d32.7984933!4d-96.8074407",claimed,Restaurants,Dallas
Dot's Hop House &amp; Cocktail Courtyard,12142303687,dotshophouse@gmail.com,google.com,http://dotshophouse.com/,Bar,2645 Commerce St,Dallas,TX,75226,US,,https://www.facebook.com/dotshophouse,,,,4.5,1932,3.8,367,4.1,395,n,y,n,y,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,wix.com,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Dot's+Hop+House+&amp;+Cocktail+Courtyard/@32.7832074,-96.7844854,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x14FA2A2B8317C2AA!8m2!3d32.7832074!4d-96.7844854",claimed,Restaurants,Dallas
Ichigoh Ramen Lounge,19727070732,info@ichigohramen.com,self_hosted,https://ichigohramen.com/,Ramen restaurant,2724 Commerce St,Dallas,TX,75226,US,,,https://www.instagram.com/ichigohramen,,,4.7,775,4.6,335,,,n,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,Squarespace Domains,nsone.net,Ichigoh Ramen Lounge,,1,126,7,3165,350,Ramen Restaurant,149,7,,,,,,https://g.page/ichigoh-ramen-lounge,claimed,Restaurants,Dallas
Yolk - One Arts Plaza,12148559655,gianluca.pesce@eatyolk.com,solarwindsmsp.com,http://www.eatyolk.com/,Brunch restaurant,1722 Routh St #132,Dallas,TX,75201,US,,,https://www.instagram.com/eatyolk,,https://www.linkedin.com/company/yolk.,4.2,2186,3.9,1602,,,n,y,n,y,y,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,bluehost.com,Yolk,1,1,4942,3,29778,5852,Entrepreneur,39,1,1,,,,,https://g.page/YolkOneArtsPlaza,claimed,Restaurants,Dallas
Oni Ramen,17810801011,oniramenx2@gmail.com,google.com,http://www.oniramen.com/,Ramen restaurant,2822 Elm St,Dallas,TX,75226,US,,https://www.facebook.com/oniramen,,https://www.twitter.com/oniramenofc,,4.4,1977,3.9,744,,,n,y,n,n,y,n,y,y,n,1970-01-01,1970-01-01,Namecheap,core-dns.net,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Oni+Ramen/@32.7845797,-96.7827172,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xF080F156B18FA4DA!8m2!3d32.7845797!4d-96.7827172",claimed,Restaurants,Dallas
Commissary,12148272927,jobs@commissarydallas.com,outlook.com,http://commissarydallas.com/,Cafe,1217 Main St,Dallas,TX,75202,US,,,https://www.instagram.com/commissarydallas,,,4.5,875,,,,,y,y,n,y,y,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Commissary,,1,1164,6,12424,367,Grocery & Convenience Stores,29,3,,,,,,https://g.page/Commissary-Dallas,claimed,Restaurants,Dallas
Snappy Salads Harwood,12147487627,watterscreek@snappysalads.com,outlook.com,https://www.snappysalads.com/,Restaurant,717 N Harwood St,Dallas,TX,75201,US,,,https://www.instagram.com/snappysalads,,,4.2,207,,,,,y,y,n,y,y,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Snappy Salads,,1,1301,9,5067,849,Restaurants,4,1,,,,,1,"https://maps.google.com/maps/place/Snappy+Salads+Harwood/@32.7856018,-96.7981514,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x161AFD124EBC9D8D!8m2!3d32.7856018!4d-96.7981514",claimed,Restaurants,Dallas
Salum Restaurant,12142529604,abraham@salumrestaurant.com,self_hosted,http://salumrestaurant.com/,New American restaurant,4152 Cole Ave # 103,Dallas,TX,75204,US,,,https://www.instagram.com/salumrestaurant,https://www.twitter.com/salumrestaurant,,4.7,335,,,,,n,y,n,y,n,n,n,y,n,1970-01-01,1970-01-01,Wild West Domains,hostmonster.com,Salum Restaurant,,1,3930,5,1992,1215,Restaurant,8,,,,,,,https://g.page/salumrestaurant,claimed,Restaurants,Dallas
Bread Winners Cafe &amp; Bakery,12145561334,uptown@breadwinnerscafe.com,outlook.com,https://breadwinnerscafe.com/uptown-dallas,Restaurant,3301 McKinney Ave,Dallas,TX,75204,US,,,https://www.instagram.com/breadwinnerscafe,,https://www.linkedin.com/company/bread-winners-cafe-&-bakery,4.3,2948,3.9,2383,,,n,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,cloudflare.com,Bread Winners Cafe & Bakery,,1,1945,8,14260,1191,Restaurant,16,2,,,,,,"https://maps.google.com/maps/place/Bread+Winners+Cafe+&amp;+Bakery/@32.8045201,-96.7994817,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x2C38015D5C452FBD!8m2!3d32.8045201!4d-96.7994817",claimed,Restaurants,Dallas
Trinity Groves,12147440100,eragsdale@allynmedia.com,google.com,https://www.trinitygroves.com/,Property management company,3011 Gulden Ln,Dallas,TX,75212,US,,,https://www.instagram.com/trinitygroves,,https://www.linkedin.com/company/trinity-groves,4.6,3799,,,,,y,y,n,n,y,n,n,y,n,1970-01-01,1970-01-01,Network Solutions,domaincontrol.com,Trinity Groves,,1,2691,16,91920,1339,Restaurant,284,13,,,,,,"https://maps.google.com/maps/place/Trinity+Groves/@32.7791873,-96.827997,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x1ED3B302698ABED8!8m2!3d32.7791873!4d-96.827997",claimed,Restaurants,Dallas
The Crafty Irishman,19727077589,larissa@merriongp.com,google.com,https://www.thecraftyirishman.com/,Irish restaurant,1800 Main St,Dallas,TX,75201,US,,,,,,4.6,2587,4.5,628,,,n,n,n,y,n,n,n,n,n,1970-01-01,1970-01-01,GoDaddy,aws.com,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/The+Crafty+Irishman/@32.7811311,-96.7962624,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x921EB3365C7D6725!8m2!3d32.7811311!4d-96.7962624",claimed,Restaurants,Dallas
Record Grill,12147421353,bookings@tulsanightsgroup.com,outlook.com,http://www.tulsanightsgroup.com/,Diner,605 Elm St,Dallas,TX,75202,US,,,https://www.instagram.com/tulsanightsgroup,https://www.twitter.com/tulsanightsent,https://www.linkedin.com/in/dickey-thompson-3302421a8,4.6,511,4.1,91,,,n,n,n,n,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Tulsa Nights Ent Group Inc.,,1,232,13,1200,7930,Record label,4,1,,,,,,"https://maps.google.com/maps/place/Record+Grill/@32.779983,-96.8069147,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x1A51BAE01196DE5A!8m2!3d32.779983!4d-96.8069147",claimed,Restaurants,Dallas
Eatzi’s Market &amp; Bakery,12145261515,lconnelly@eatzis.com,rackspace.com,http://www.eatzis.com/,Gourmet Grocery Shop,3403 Oak Lawn Ave,Dallas,TX,75219,US,,,https://www.instagram.com/eatzis,https://www.twitter.com/eatzis,https://www.linkedin.com/company/eatzi's-market-and-bakery,4.6,3553,,,,,n,n,n,y,y,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Dallas Market & Bakery | Fresh Food for the Taking,,1,2893,9,29604,1694,Bakery,111,4,,,,,,"https://maps.google.com/maps/place/Eatzi’s+Market+&amp;+Bakery/@32.8116081,-96.8065748,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x30579150025A7CFF!8m2!3d32.8116081!4d-96.8065748",claimed,Restaurants,Dallas
State & Allen,12142391990,info@stateandallen.com,outlook.com,https://www.stateandallen.com/,Restaurant,2400 Allen St,Dallas,TX,75204,US,,,,,,4.2,862,3.8,583,,,n,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,,,,,,,,,,,,,,,,https://g.page/StateAllen,claimed,Restaurants,Dallas
Palmieri Cafe,12146849932,info@palmiericafe.com,endurance.com,http://www.palmiericafe.com/,Coffee shop,920 S Harwood St UNIT 100,Dallas,TX,75201,US,,,,https://www.twitter.com/palmiericafe,,4.5,388,4.6,219,,,n,y,n,y,y,n,n,y,n,1970-01-01,1970-01-01,Domain.com - Network Solutions,domain.com,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Palmieri+Cafe/@32.7774367,-96.7903641,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xD39D9CD991C0F396!8m2!3d32.7774367!4d-96.7903641",claimed,Restaurants,Dallas
Cafe 43,12142004302,cafe43@bushcenter.org,mimecast.com,https://www.bushcenter.org/plan-your-visit/,American restaurant,2943 SMU Boulevard,Dallas,TX,75205,US,,,https://www.instagram.com/thebushcenter,https://www.twitter.com/thebushcenter,https://www.linkedin.com/company/george-w.-bush-presidential-center,4.7,162,,,,,n,n,n,n,y,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,cloudflare.com,The George W. Bush Presidential Center,1,1,1561,1,98038,109,Museum,597,20,,,,,1,"https://maps.google.com/maps/place/Cafe+43/@32.8413794,-96.7783962,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x5975DB09D8C8D8C8!8m2!3d32.8413794!4d-96.7783962",claimed,Restaurants,Dallas
Ellie's Restaurant &amp; Lounge,19726290924,hhernandez@hallartshotel.com,barracuda.com,https://elliesdallas.com/,Restaurant,1717 Leonard St,Dallas,TX,75201,US,,,https://www.instagram.com/elliesdallas_,,,4.1,466,3.4,166,,,n,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,Network Solutions,cloudflare.com,Ellies Restaurant & Lounge,,1,995,3,14863,370,Restaurant,11,1,,,,,,https://g.page/ElliesDallas,claimed,Restaurants,Dallas
HG Sply Co.,14693340895,infodallas@hgsplyco.com,outlook.com,http://www.hgsplyco.com/,American restaurant,2008 Greenville Ave,Dallas,TX,75206,US,,,https://www.instagram.com/hgsplyco,,https://www.linkedin.com/company/hg-sply-co,4.6,4186,4.2,2060,,,n,y,n,y,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,wix.com,HG Sply Co.,,1,1392,4,24316,306,Entrepreneur,89,10,,,,,,"https://maps.google.com/maps/place/HG+Sply+Co./@32.8141738,-96.7698515,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x7D36288A55ECC02F!8m2!3d32.8141738!4d-96.7698515",claimed,Restaurants,Dallas
Nonna | Tabu,12145211800,info@nonnadallas.com,proofpoint.com,https://www.nonna-dallas.com/,Italian restaurant,4115 Lomo Alto Dr,Dallas,TX,75219,US,,,https://www.instagram.com/nonnadallas,,,4.4,395,,,,,n,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Nonna - Dallas,,1,392,9,4656,105,Restaurant,29,1,,,,,,"https://maps.google.com/maps/place/Nonna+|+Tabu/@32.8211372,-96.8152698,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x9EFD1EEF6E40508F!8m2!3d32.8211372!4d-96.8152698",claimed,Restaurants,Dallas
Backyard - Dallas,14692500873,management@backyarddtx.com,proofpoint.com,https://backyarddallas.com/,Sports bar,505 N Good Latimer Expy,Dallas,TX,75204,US,,,https://www.instagram.com/backyarddtx,,,4.1,1769,3.5,418,,,n,n,n,y,y,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Backyard Dallas,,1,1376,4,14060,568,Digital creator,88,3,,,,,,"https://maps.google.com/maps/place/Backyard+-+Dallas/@32.785845,-96.7892279,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x95515E4FA95A08E3!8m2!3d32.785845!4d-96.7892279",claimed,Restaurants,Dallas
Cafe Brazil - Deep Ellum,12147472730,catering@cafebrazil.com,outlook.com,https://cafebrazil.com/locations/deep-ellum/,Breakfast restaurant,2815 Elm St,Dallas,TX,75226,US,,,https://www.instagram.com/cafe_brazil_dfw,https://www.twitter.com/cafe_brazil_dfw,https://www.linkedin.com/company/cafe-brazil-llc,4.1,2550,3.2,409,,,n,y,n,y,y,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,cafebrazil,,1,1722,6,2757,707,Local business,4,,,,,,,"https://maps.google.com/maps/place/Cafe+Brazil+-+Deep+Ellum/@32.7849871,-96.7830264,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x537B53E748186665!8m2!3d32.7849871!4d-96.7830264",claimed,Restaurants,Dallas
Parigi Restaurant,12145210295,orders@parigidallas.com,google.com,http://www.parigidallas.com/,Restaurant,3311 Oak Lawn Ave,Dallas,TX,75219,US,,https://www.facebook.com/parigidallas,https://www.instagram.com/parigidallas,,,4.5,436,,,4.1,339,n,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Parigi,,1,1546,13,6417,3752,New American Restaurant,78,7,,,,,,https://g.page/parigidallas,claimed,Restaurants,Dallas
Beverley’s Bistro and Bar,12149158840,info@beverleysdallas.com,google.com,https://beverleysdallas.com/,Restaurant,3215 N Fitzhugh Ave,Dallas,TX,75204,US,,,https://www.instagram.com/beverleysdallas,,,4.6,509,4.3,364,,,n,y,n,y,y,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Beverley's Bistro and Bar,,1,377,8,19965,1072,Restaurant,81,6,,,,,,"https://maps.google.com/maps/place/Beverley’s+Bistro+and+Bar/@32.8165025,-96.7934077,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xBCCBD8E9BA51620!8m2!3d32.8165025!4d-96.7934077",claimed,Restaurants,Dallas
Avilas Mexican Restaurant,12145202700,katieavila77@icloud.com,icloud.com,http://avilasrestaurant.com/,Tex-Mex restaurant,4714 Maple Ave,Dallas,TX,75219,US,,https://www.facebook.com/avilasrestaurant,https://www.instagram.com/avilasmexican,https://www.twitter.com/avilascooking,,4.5,1667,,,4.5,880,n,n,n,y,n,n,y,y,n,1970-01-01,1970-01-01,Register.com - Network Solutions,wix.com,Avilas Mexican Restaurant,,1,42,6,1409,62,Restaurant,16,1,,,,,,"https://maps.google.com/maps/place/Avilas+Mexican+Restaurant/@32.814234,-96.8255049,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x2734E6D2C54E907!8m2!3d32.814234!4d-96.8255049",claimed,Restaurants,Dallas
Jonathons Diner,12147829273,christine@jonathonsoakcliff.com,outlook.com,http://jonathonsoakcliff.com/,American restaurant,1619 N Beckley Ave,Dallas,TX,75208,US,,,,,,4.2,3413,3.6,293,,,n,n,n,n,n,n,n,n,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Jonathons+Diner/@32.7645774,-96.8232181,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x3DFE16ED920EE890!8m2!3d32.7645774!4d-96.8232181",claimed,Restaurants,Dallas
Armoury D.E.,19728035151,armouryde@gmail.com,google.com,https://armouryde.com/,Bar,2714 Elm St,Dallas,TX,75226,US,,https://www.facebook.com/armoury2714,,https://www.twitter.com/armouryde,,4.7,1254,4.5,428,4,203,n,n,n,n,n,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,websitewelcome.com,,,,,,,,,,,,,,,,https://g.page/Armoury-DE,claimed,Restaurants,Dallas
Beto & Son,14692498590,betoatwork@gmail.com,google.com,https://www.betoandsondallas.com/,Mexican restaurant,3011 Gulden Ln #108,Dallas,TX,75212,US,,https://www.facebook.com/betoandson,https://www.instagram.com/betoandson,https://www.twitter.com/betoandson1,,4.3,3439,4.1,1553,4,940,n,y,n,y,y,n,n,y,n,1970-01-01,1970-01-01,Tucows Domains,systemdns.com,Beto & Son at Trinity Groves,,1,1103,8,18444,5661,Restaurants,358,19,,,,,,https://g.page/betoandson,claimed,Restaurants,Dallas
